@relation 'position-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C1-L4,6'

@attribute class {rest,index,pinch_1,pinch_3,fist,spread}
@attribute A_mean numeric
@attribute A_median numeric
@attribute A_variance numeric
@attribute B_mean numeric
@attribute B_median numeric
@attribute B_variance numeric
@attribute C_mean numeric
@attribute C_median numeric
@attribute C_variance numeric
@attribute D_mean numeric
@attribute D_median numeric
@attribute D_variance numeric
@attribute E_mean numeric
@attribute E_median numeric
@attribute E_variance numeric
@attribute F_mean numeric
@attribute F_median numeric
@attribute F_variance numeric
@attribute G_mean numeric
@attribute G_median numeric
@attribute G_variance numeric
@attribute H_mean numeric
@attribute H_median numeric
@attribute H_variance numeric

@data
fist,-0.6,-1,10.44,-0.6,0,9.04,-0.3,-2,48.01,0.7,-2,179.01,-2.8,-4,174.96,-5,-11,374.4,-3.2,-4,94.16,-0.1,-1,39.09
fist,-2.1,-2,3.89,-2.2,-1,3.56,-2.2,-2,23.96,-3.5,-5,52.45,-4.5,-3,111.85,-1.9,1,210.89,1.2,0,105.56,-2.1,-2,14.49
fist,-0.9,-1,8.29,-0.9,-1,3.29,-0.4,-1,11.24,-0.1,-1,66.89,-0.2,1,168.96,4.6,-3,241.04,-0.9,-2,86.09,-1,-1,26.6
fist,-1.2,-1,1.76,-1.8,-2,2.96,-2.5,-3,11.85,-3.4,-4,44.64,-2.6,-7,77.84,2.1,-6,398.49,-2.8,-4,25.56,-1.3,-1,1.61
fist,-0.7,-1,1.81,-0.8,0,1.76,-0.4,0,1.84,-0.5,0,14.45,-5.1,4,277.29,3.1,9,586.09,-0.9,2,59.89,-2.9,-2,26.69
fist,-1.9,-2,11.69,-1.4,-1,2.24,-1.8,-2,11.56,-2.5,-3,23.65,-1.3,-2,65.21,-7.4,-9,83.64,-2.4,-3,19.84,0.6,1,38.84
fist,-1.2,-1,3.76,-1.9,-2,1.69,-2.2,-2,10.76,-1.9,-2,29.69,-3.6,-2,61.24,-11.3,-12,312.01,-4.1,-3,98.09,-2.6,-2,2.84
fist,-0.8,0,4.16,-0.4,-1,1.64,-0.4,0,14.64,-0.5,-1,20.45,1.9,3,119.69,-9.9,-8,384.89,-1.5,-1,28.45,-0.1,0,25.89
fist,-0.6,0,2.84,-1.4,-1,3.04,-1.9,-4,16.29,-2.5,-3,31.05,-1.3,3,95.61,-0.3,1,63.81,-1.5,0,18.25,-1.2,-1,12.56
fist,-1.3,-1,6.01,-1.4,-2,4.24,0.1,0,6.69,-0.8,0,16.96,-0.6,8,164.44,-8.3,-3,756.21,-0.9,0,79.29,-0.9,-2,23.29
fist,-1.5,-1,2.05,-1.5,-1,1.85,-0.9,-1,14.49,-1.3,-1,10.61,-2.3,-2,25.21,3,6,97.4,-3.4,-2,23.04,-2.3,-2,6.81
fist,-1.6,-1,1.44,-1.5,-1,2.85,-2.5,-3,10.65,-2.9,0,25.29,-1.5,-2,131.45,0.2,1,78.96,-0.6,0,13.64,-1.6,-1,3.64
fist,0.4,1,180.24,-0.7,-1,5.41,0.5,0,59.25,0.7,1,119.81,-0.8,2,96.76,3.7,4,79.61,0.6,2,53.24,-1.1,-1,6.89
fist,-0.9,-2,22.09,-1.4,-1,2.04,-1.6,-1,13.24,0,-1,40.4,0,4,108.2,0.7,-1,203.61,0.2,2,110.76,-1.3,-1,3.61
fist,-0.9,-1,43.09,-0.9,0,2.49,-1.1,-1,8.09,-1.6,-2,31.64,-0.4,-3,377.04,-0.6,-5,183.04,-2,-1,57.4,-0.7,0,4.21
fist,-1.9,-2,9.49,-1.4,-2,2.64,-2,-1,7.2,-2,0,20.2,-1.7,-1,62.01,-4.5,-2,58.45,-2.5,-2,9.05,-1.3,-1,1.61
fist,-2,-2,3.2,-1.9,-1,2.09,-1.3,0,6.81,-1.3,0,40.01,-3.2,-5,240.76,-7.2,-3,191.76,-3.2,-1,23.56,-1.6,-2,2.24
fist,-1.1,-1,1.69,-1.3,-2,2.81,-1.7,-1,22.21,-1.6,0,57.64,-4.1,-3,274.69,2.7,1,308.61,-0.6,-1,22.24,-1.7,-2,1.81
fist,-1.1,-1,5.69,-0.4,0,0.84,-1.2,-2,6.16,-1.1,-1,15.69,0.4,0,85.44,-5.1,-5,123.09,-2.4,0,17.24,-1,-1,2.6
fist,-1.4,-1,2.04,-1.5,-1,3.05,-1,-1,16,-0.4,-1,48.84,-2.8,-2,45.56,-0.4,-4,402.44,-1.9,-1,38.69,-1.6,-1,6.04
fist,-1.2,-1,10.96,-1.5,-2,3.85,-2.4,-3,20.44,-2.7,-4,39.41,0,7,363.4,-3.5,-5,249.45,-3.3,-4,11.01,-1.5,-2,2.45
fist,-1.4,-3,6.24,-1.5,-1,4.45,-0.5,-1,18.25,0.4,-2,45.44,-1.9,1,87.69,5,4,240,-0.1,-1,82.09,-1.6,-2,4.04
fist,-1,-1,4.8,-0.9,0,1.49,-1.2,-1,9.56,-2.7,-3,18.81,-2.8,-1,182.56,-1.5,1,122.65,-0.7,-1,13.81,-0.6,-1,2.04
fist,-1.5,-1,4.05,-1.6,-1,3.64,-1.6,-1,12.64,-1.6,-2,40.44,-1.6,1,87.44,0,5,277.8,-1.6,1,41.84,-1.8,-1,4.56
fist,-1.2,-1,1.76,-0.8,-1,3.36,-2.3,-3,12.21,-2.3,-3,24.01,-2.7,-3,42.01,-2.6,1,76.44,-1.1,0,23.49,-1,-1,1.2
fist,-1.5,-2,0.85,-1.1,-1,0.89,-0.4,1,10.64,0,2,14.8,1.1,4,76.89,0.1,3,80.09,-1.8,1,27.36,-1.4,-1,2.64
